epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4176,2.44357,7.68171,2.4826,0.02162,0.44444,0.11813,0.10288,1.04667,8.574,1.85359,6.668e-05,6.668e-05,6.668e-05
2,183.668,2.32339,7.57775,2.48162,0.03341,0.80556,0.14219,0.11445,1.47041,8.39964,1.99236,0.000145079,0.000145079,0.000145079
3,262.003,2.43178,7.08729,2.46058,0.03474,0.91667,0.25938,0.20558,1.63562,8.12192,2.04415,0.000217977,0.000217977,0.000217977
4,342.072,2.19664,6.40077,2.37855,0.02785,0.94444,0.40546,0.32742,1.25961,7.81503,2.03503,0.000285374,0.000285374,0.000285374
5,420.853,2.19071,5.82741,2.35167,0.02751,0.94444,0.46618,0.38023,1.33526,7.62244,2.08041,0.000347269,0.000347269,0.000347269
6,8649.41,2.23921,5.68846,2.37178,0.02683,0.91667,0.47722,0.38628,1.34134,7.48011,2.05963,0.000403664,0.000403664,0.000403664
7,10681.1,2.40172,5.32706,2.43851,0.02732,0.91667,0.50239,0.40445,1.52797,7.47788,2.07018,0.000454558,0.000454558,0.000454558
8,10919.3,2.21656,5.22616,2.27178,0.02902,0.91667,0.51914,0.40781,1.52315,7.36724,2.03938,0.00049995,0.00049995,0.00049995
9,11019.7,2.50089,4.78948,2.44338,0.0343,0.91667,0.54943,0.43093,1.52387,7.27066,2.0128,0.000539841,0.000539841,0.000539841
10,11132.1,2.44474,5.26637,2.39376,0.04864,0.94444,0.59297,0.43695,1.64825,7.14314,2.18159,0.000574231,0.000574231,0.000574231
11,11297.6,2.16184,4.73516,2.30056,0.04935,0.94444,0.56065,0.42046,1.71814,7.08071,2.15986,0.000603121,0.000603121,0.000603121
12,11382.5,2.12614,4.89571,2.36962,0.04978,0.94444,0.54221,0.40144,1.64699,7.10032,2.18928,0.000626509,0.000626509,0.000626509
13,11492.6,2.0954,4.78522,2.27185,0.04749,0.94444,0.53452,0.37759,1.78449,7.03063,2.26256,0.000644396,0.000644396,0.000644396
14,11564.8,2.0314,4.83867,2.22067,0.04749,0.94444,0.53452,0.37759,1.78449,7.03063,2.26256,0.000656781,0.000656781,0.000656781
15,11720.6,1.939,4.85239,2.21015,0.04552,0.94444,0.50316,0.375,1.7898,6.86334,2.36673,0.000663666,0.000663666,0.000663666
16,11856.1,2.24197,4.77406,2.30744,0.46108,0.47222,0.4596,0.36887,1.84026,6.63124,2.3934,0.00066505,0.00066505,0.00066505
17,12089.9,2.13393,4.78605,2.27836,0.50648,0.16667,0.41101,0.33604,1.87645,6.36252,2.50587,0.000660932,0.000660932,0.000660932
18,12167.7,2.10058,4.18235,2.23255,0.50648,0.16667,0.41101,0.33604,1.87645,6.36252,2.50587,0.000651314,0.000651314,0.000651314
19,12290.9,2.06767,4.26931,2.22881,0.51133,0.33333,0.38954,0.29126,1.88223,6.0885,2.51357,0.000636194,0.000636194,0.000636194
20,12373.6,2.19684,4.51125,2.28789,0.50131,0.36111,0.3773,0.28685,1.8728,5.91406,2.40541,0.000615573,0.000615573,0.000615573
21,12492.7,2.10593,7.77865,2.08789,0.50131,0.36111,0.3773,0.28685,1.8728,5.91406,2.40541,0.00056678,0.00056678,0.00056678
22,12565.5,1.84149,7.1776,2.0961,0.51659,0.386,0.39362,0.30173,1.73744,5.6464,2.3027,0.000511769,0.000511769,0.000511769
23,12666.3,1.89733,6.11458,2.0916,0.45675,0.32716,0.45688,0.35994,1.70583,5.45575,2.26632,0.000456758,0.000456758,0.000456758
24,12832,1.96266,6.40281,2.04918,0.45675,0.32716,0.45688,0.35994,1.70583,5.45575,2.26632,0.000401747,0.000401747,0.000401747
25,12924.3,1.76547,6.69918,2.06801,0.46133,0.44444,0.46867,0.38028,1.61917,5.26205,2.21585,0.000346736,0.000346736,0.000346736
26,13090,1.84395,6.20537,2.06631,0.46133,0.44444,0.46867,0.38028,1.61917,5.26205,2.21585,0.000291725,0.000291725,0.000291725
27,13135.1,1.88368,6.65443,2.07766,0.47634,0.5,0.51695,0.42511,1.59048,5.13317,2.1787,0.000236714,0.000236714,0.000236714
28,13189.6,1.77313,7.48878,2.07941,0.54329,0.628,0.55736,0.45829,1.5734,5.00352,2.14622,0.000181703,0.000181703,0.000181703
29,13232.7,1.7585,6.6192,2.09723,0.54329,0.628,0.55736,0.45829,1.5734,5.00352,2.14622,0.000126692,0.000126692,0.000126692
30,13285.8,1.82275,6.38377,2.01461,0.52795,0.61111,0.56487,0.45995,1.55137,4.93217,2.11836,7.1681e-05,7.1681e-05,7.1681e-05
